recipe,base points with cond,base points without cond,visibility with cond,visibility without cond
gildedShoreRisotto,106,74,32,16
braisedNewYearFish,92,64,28,14
farmsteadFeastRoast,92,64,28,14
newYearJiaozi,106,74,32,16
woodlandMushroomRisotto,92,64,28,14
braisedVenisonStew,106,74,40,20
heartyCustardPie,64,44,24,12
paleleafMeatRoll,86,60,32,16
saltbakedShrimp,75,52,28,14
domeFigueMiel,197,137,54,27
hearthroastChicken,73,51,24,12
holidayGingerbread,240,168,66,33
mooncake,240,168,66,33
simpleSearedScallops,92,64,36,18
snowSkinMooncake,240,168,66,33
wildHerbTomahawk,119,83,48,24
honeyGlazedWings,92,64,28,14
velvetTiramisu,198,138,60,30
cocoaBerryBliss,240,168,66,33
midsummerLambRoast,92,64,28,14
deepwaterInkPasta,108,75,44,22
goldenCreamPasta,99,69,36,18
wildbloomSalad,240,168,66,33
charredMysterySteak,119,83,48,24
cinnamonSearedFoieGras,119,83,48,24
feastOfCourageAndChivalry,130,91,48,24
feastOfCunningAndAmbition,130,91,48,24
feastOfLoyaltyAndDedication,130,91,48,24
feastOfWisdomAndWit,302,211,78,39
theFoundersFeast,130,91,48,24